time [s], x [m], y [m], z[m], E [MeV], px [MeV], py [MeV], pz [MeV]
6.4E-11,1.9758131E-6,9.4546726E-7,0.010236262,1107.3894978732642,9.041705,9.832629,588.4633
6.5E-11,4.425278E-6,3.6091992E-6,0.010395681,1106.7225262006732,10.678424,10.2760515,587.1722
6.6E-11,7.319885E-6,6.394735E-6,0.010554846,1106.0549828105293,10.469449,6.09082,585.97516
6.7E-11,1.0159559E-5,8.046774E-6,0.010713783,1105.3867535844638,13.470187,0.8372527,584.6826
6.8E-11,1.3815344E-5,8.2740025E-6,0.010872465,1104.717893853449,9.741649,5.6852736,583.4642
6.9E-11,1.646081E-5,9.817911E-6,0.0110309115,1104.0484590813937,16.933544,5.905578,582.0286
7.0E-11,2.1062115E-5,1.1422617E-5,0.011189065,1103.3783349332177,13.95894,2.7907286,580.8589
7.1E-11,2.4857442E-5,1.2181395E-5,0.011346996,1102.7075201521027,11.502616,2.537401,579.6388
7.2E-11,2.7986816E-5,1.2871714E-5,0.011504691,1102.0360701900822,12.071344,2.640465,578.3484
7.3E-11,3.1272917E-5,1.359051E-5,0.01166213,1101.3639838854365,9.051893,-0.9783414,577.12714
7.4E-11,3.373856E-5,1.332402E-5,0.011819334,1100.6912600725054,9.502615,-5.4412155,575.8101
7.5E-11,3.6328554E-5,1.1840984E-5,0.011976275,1100.0178407644123,4.675895,-7.096246,574.5633
7.6E-11,3.760378E-5,9.905676E-6,0.012132972,1099.3437246830492,1.5232123,-7.5083494,573.2835
7.7E-11,3.8019447E-5,7.856722E-6,0.012289414,1098.668967432866,2.0945246,-4.919445,572.0148
7.8E-11,3.8591374E-5,6.513429E-6,0.012445607,1097.9935109097867,0.079030305,-6.5907483,570.70337
7.9E-11,3.8612965E-5,4.7126678E-6,0.012601539,1097.3174107795794,-6.4359984,-10.26007,569.3108
8.0E-11,3.6853402E-5,1.9076263E-6,0.012757185,1096.640608859621,-8.168317,-16.207909,567.8443
8.1E-11,3.4618857E-5,-2.5262536E-6,0.012912526,1095.9630468222913,-5.12876,-4.628424,566.78326
8.2E-11,3.321495E-5,-3.7932007E-6,0.013067672,1095.2848373824957,-7.9525156,-7.5572634,565.4065
8.3E-11,3.1036747E-5,-5.8631454E-6,0.013222538,1094.605865140508,-8.981015,-6.614667,564.08655
